,year,company name,car model,km driven,ownership,Fuel,Price,Transmission,Variant,City
3472,2016,Ford,Ecosport,"90,702",1st Owner,Petrol,"₹4,96,599",Manual,1.5 TITANIUM TI VCT Manual,Patna
3473,2019,Tata,NEXON,"34,218",1st Owner,Diesel,"₹8,21,099",Manual,XZ+ 1.5 Manual,Patna
3474,2013,Honda,Amaze,"82,804",1st Owner,Petrol,"₹3,43,299",Manual,1.2 SMT I VTEC Manual,Patna
3475,2009,Maruti,Alto,"24,472",3rd Owner,Petrol,"₹1,32,799",Manual,LXI Manual,Patna
3476,2015,Hyundai,Creta,"38,792",1st Owner,Diesel,"₹7,98,299",Manual,1.6 SX (O) CRDI Manual,Patna
3477,2017,Maruti,Swift,"33,209",1st Owner,Petrol,"₹4,51,499",Manual,VXI Manual,Patna
3478,2017,Honda,WR-V,"20,926",1st Owner,Petrol,"₹5,61,699",Manual,1.2 i-VTEC S MT Manual,Patna
3479,2017,Maruti,Baleno,"36,944",1st Owner,Petrol,"₹5,01,599",Manual,DELTA 1.2 K12 Manual,Patna
3480,2019,KIA,SELTOS,"15,420",1st Owner,Petrol,"₹11,81,599",Manual,HTK PLUS 1.5 PETROL Manual,Patna
3481,2016,Honda,Brio,"57,330",1st Owner,Petrol,"₹3,28,599",Manual,1.2 E MT I VTEC Manual,Patna
3482,2018,Ford,Ecosport,"36,010",1st Owner,Diesel,"₹7,70,999",Manual,1.5 TITANIUM SIGNATURE (SUNROOF) TDCI Manual,Patna
3483,2018,Ford,Ecosport,"41,336",1st Owner,Diesel,"₹6,88,599",Manual,1.5TITANIUM TDCI Manual,Patna
3484,2015,Hyundai,Xcent,"86,726",1st Owner,Petrol,"₹4,50,599",Manual,S 1.2 Manual,Patna
3485,2015,Maruti,Wagon R 1.0,"31,278",1st Owner,Petrol,"₹3,36,999",Manual,VXI Manual,Patna
3486,2019,MG,HECTOR,"7,362",1st Owner,Petrol,"₹14,48,899",Automatic,SHARP DCT PETROL Automatic,Patna
3487,2018,Maruti,Vitara Brezza,"99,106",1st Owner,Diesel,"₹6,86,299",Manual,ZDI Manual,Patna
3488,2020,Maruti,S PRESSO,"3,606",1st Owner,Petrol,"₹3,92,899",Manual,VXI PLUS Manual,Patna
3489,2013,Hyundai,Verna,"36,502",1st Owner,Diesel,"₹5,00,799",Manual,FLUIDIC 1.6 SX CRDI Manual,Patna
3490,2015,Ford,New Figo,"14,367",1st Owner,Petrol,"₹3,40,399",Manual,1.2 TITANIUM Manual,Patna
3491,2008,Maruti,Alto,"43,091",1st Owner,Petrol,"₹1,15,899",Manual,LX Manual,Patna
3492,2013,Maruti,Swift,"56,996",2nd Owner,Petrol,"₹3,08,499",Manual,VXI Manual,Patna
3493,2019,Renault,Kwid,"30,550",1st Owner,Petrol,"₹3,17,899",Manual,RXL Manual,Patna
3494,2014,Hyundai,Xcent,"21,548",1st Owner,Petrol,"₹3,82,599",Manual,SX 1.2 Manual,Patna
3495,2016,Maruti,Swift Dzire,"91,866",1st Owner,Petrol,"₹4,84,899",Manual,LXI 1.2 BS IV Manual,Patna
3496,2017,Ford,Endeavour,"43,496",1st Owner,Diesel,"₹23,87,299",Automatic,3.2l 4X4 AT Titanium Automatic,Patna
3497,2018,Honda,Amaze,"26,964",1st Owner,Petrol,"₹6,34,699",Manual,1.2 VXMT I VTEC Manual,Patna
3498,2014,Maruti,Wagon R 1.0,"8,038",1st Owner,Petrol,"₹3,04,799",Manual,LXI Manual,Patna
3499,2012,Maruti,Alto K10,"35,858",1st Owner,Petrol,"₹1,83,799",Manual,VXI Manual,Patna
3500,2021,Renault,TRIBER,"21,644",1st Owner,Petrol,"₹5,18,799",Manual,1.0 RXZ Manual,Patna
3501,2018,Maruti,Baleno,"24,114",1st Owner,Petrol,"₹5,56,899",Manual,DELTA 1.2 K12 Manual,Patna
3502,2019,Renault,Kwid,"27,840",1st Owner,Petrol,"₹3,78,899",Manual,1.0 CLIMBER OPT Manual,Patna
3503,2015,Maruti,Wagon R 1.0,"29,717",1st Owner,Petrol,"₹3,26,299",Manual,VXI Manual,Patna
3504,2020,Maruti,Swift,"12,700",1st Owner,Petrol,"₹6,01,999",Manual,VXI Manual,Patna
3505,2019,Hyundai,GRAND I10 NIOS,"11,893",1st Owner,Petrol,"₹6,53,099",,SPORTZ 1.2 AT,Patna
3506,2015,Hyundai,Grand i10,"52,607",2nd Owner,Petrol,"₹3,61,699",Manual,MAGNA 1.2 VTVT Manual,Patna
3507,2016,Maruti,Alto K10,"33,237",1st Owner,Petrol,"₹2,76,699",Manual,VXI Manual,Patna
3508,2018,Maruti,Baleno,"43,705",1st Owner,Diesel,"₹6,35,599",Manual,DELTA DDIS 190 Manual,Patna
3509,2017,Maruti,IGNIS,"19,664",1st Owner,Petrol,"₹5,04,599",Automatic,ZETA 1.2 K12 AMT Automatic,Patna
3510,2015,Maruti,Alto K10,"23,501",1st Owner,Petrol,"₹2,84,399",Manual,VXI Manual,Patna
3511,2018,Ford,Figo Aspire,"23,188",1st Owner,Petrol,"₹4,31,199",Manual,1.2 TITANIUM PETROL Manual,Patna
3512,2021,Hyundai,VENUE,"7,791",1st Owner,Petrol,"₹7,38,899",Manual,S MT 1.2 KAPPA Manual,Patna
3513,2018,Maruti,Alto 800,"2,341",1st Owner,Petrol,"₹2,71,700",Manual,VXI Manual,Patna
3514,2020,Ford,Ecosport,"13,874",1st Owner,Diesel,"₹6,60,899",Manual,1.5 AMBIENTE TDCI Manual,Patna
3515,2020,Maruti,Dzire,"14,469",1st Owner,Petrol,"₹6,40,699",Manual,VXI Manual,Patna
3516,2020,Maruti,Celerio X,"14,137",1st Owner,Petrol,"₹4,44,399",Manual,Zxi Manual,Patna
3517,2019,Maruti,Alto K10,"12,146",1st Owner,Petrol,"₹3,68,799",Manual,VXI Manual,Patna
3518,2018,Hyundai,Verna,"55,769",1st Owner,Petrol,"₹7,28,499",Manual,1.6 SX VTVT Manual,Rajkot
3519,2018,Hyundai,Verna,"49,212",2nd Owner,Petrol,"₹7,51,499",Manual,1.6 SX VTVT Manual,Rajkot
3520,2018,Hyundai,Verna,"86,324",1st Owner,Petrol,"₹6,84,199",Manual,1.4 VTVT E Manual,Rajkot
3521,2015,Hyundai,Elite i20,"78,136",1st Owner,Diesel,"₹4,85,199",Manual,MAGNA 1.4 CRDI Manual,Rajkot
